Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,num_schools_nearby,num_hospitals_nearby,num_supermarkets_nearby,num_transit_stations_nearby
Brighton,3,h,2600000.0,11.2,3.0,2.0,3.0,588.0,,,-37.9287,144.99200000000005,Southern Metropolitan,8,0,0,20
West Melbourne,2,u,620000.0,1.9,2.0,1.0,1.0,0.0,83.0,2002.0,-37.8091,144.952,Northern Metropolitan,0,0,0,0
St Kilda,3,u,1000000.0,6.1,3.0,1.0,0.0,0.0,115.0,1930.0,-37.8718,144.9767,Southern Metropolitan,0,0,0,0
Pascoe Vale,3,t,430000.0,9.9,3.0,2.0,1.0,146.0,106.0,2006.0,-37.7152,144.9346,Northern Metropolitan,0,0,0,0
South Kingsville,2,h,392250.0,9.1,2.0,1.0,2.0,462.0,,1970.0,-37.8331,144.8715,Western Metropolitan,0,0,0,0
Yallambie,4,h,700000.0,15.0,4.0,1.0,1.0,530.0,,,-37.7251,145.1053,Northern Metropolitan,0,0,0,0
Moonee Ponds,2,u,439000.0,6.9,2.0,1.0,1.0,0.0,70.0,2005.0,-37.7679,144.9245,Western Metropolitan,0,0,0,0
Parkville,3,h,2236000.0,2.6,4.0,2.0,1.0,154.0,196.0,1890.0,-37.7934,144.9562,Northern Metropolitan,0,0,0,0
Lalor,3,h,671000.0,16.3,3.0,1.0,2.0,418.0,,,-37.66349,145.03391000000005,Northern Metropolitan,0,0,0,0
Hawthorn,3,h,1870000.0,5.3,3.0,1.0,1.0,271.0,,,-37.81816,145.03938,Southern Metropolitan,0,0,0,0
Malvern East,4,h,2525000.0,8.4,4.0,2.0,2.0,576.0,,,-37.87427,145.05014,Southern Metropolitan,0,0,0,0
Heidelberg West,3,h,710000.0,9.4,3.0,1.0,1.0,594.0,107.0,,-37.7385,145.0409,Eastern Metropolitan,0,0,0,0
Carlton North,2,h,1330000.0,3.2,2.0,1.0,0.0,116.0,,,-37.7904,144.9726,Northern Metropolitan,0,0,0,0
Reservoir,3,t,642500.0,12.0,3.0,2.0,2.0,160.0,140.0,2010.0,-37.71064000000001,145.01067,Northern Metropolitan,0,0,0,0
Templestowe Lower,2,t,731000.0,12.4,2.0,1.0,1.0,217.0,115.0,2005.0,-37.75671,145.11401,Eastern Metropolitan,0,0,0,0
Fawkner,3,h,860000.0,12.4,2.0,1.0,4.0,1075.0,,,-37.7156,144.9708,Northern Metropolitan,0,0,0,0
Maribyrnong,2,t,429000.0,8.7,2.0,1.0,1.0,83.0,88.0,1980.0,-37.7732,144.8927,Western Metropolitan,0,0,0,0
Taylors Lakes,3,h,790500.0,15.5,3.0,2.0,2.0,808.0,,,-37.6943,144.78187,Western Metropolitan,0,0,0,0
Hawthorn East,4,h,2350000.0,7.5,4.0,2.0,2.0,556.0,220.0,1900.0,-37.8204,145.0516,Southern Metropolitan,0,0,0,0
Kurunjang,3,h,330000.0,31.7,3.0,1.0,1.0,654.0,,,-37.67195,144.5788,Northern Victoria,0,0,0,0
Armadale,2,u,820000.0,6.3,2.0,1.0,1.0,1501.0,,,-37.8528,145.02684,Southern Metropolitan,0,0,0,0
Forest Hill,3,h,742000.0,15.4,3.0,1.0,1.0,404.0,,,-37.83792,145.16573,Eastern Metropolitan,0,0,0,0
Kingsville,3,h,915000.0,6.4,3.0,2.0,4.0,463.0,,,-37.81045,144.87311,Western Metropolitan,0,0,0,0
Albert Park,2,h,1562500.0,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan,0,0,0,0
Middle Park,3,h,1630000.0,4.1,3.0,1.0,0.0,143.0,,,-37.8484,144.963,Southern Metropolitan,0,0,0,0
Bundoora,3,h,796000.0,12.1,3.0,2.0,2.0,534.0,,,-37.69852,145.04836,Northern Metropolitan,0,0,0,0
Surrey Hills,2,u,520000.0,11.2,2.0,1.0,1.0,0.0,,,-37.8138,145.0879,Southern Metropolitan,0,0,0,0
Highett,2,u,645000.0,16.0,2.0,1.0,1.0,105.0,64.0,1970.0,-37.94887,145.02647,Southern Metropolitan,0,0,0,0
Elwood,2,u,684000.0,7.7,2.0,1.0,0.0,0.0,98.0,1930.0,-37.875,144.991,Southern Metropolitan,0,0,0,0
Ascot Vale,3,h,786000.0,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,-37.7816,144.9217,Western Metropolitan,0,0,0,0
Mount Waverley,2,u,620000.0,14.2,2.0,1.0,1.0,190.0,,,-37.87677,145.11961000000005,Eastern Metropolitan,0,0,0,0
Northcote,4,h,1700000.0,5.5,4.0,2.0,1.0,415.0,218.0,1900.0,-37.7807,144.9948,Northern Metropolitan,0,0,0,0
Reservoir,1,u,270000.0,12.0,1.0,1.0,1.0,0.0,60.0,1980.0,-37.71408,145.00441,Northern Metropolitan,0,0,0,0
Essendon North,2,u,340000.0,9.4,2.0,1.0,1.0,0.0,65.0,1960.0,-37.7433,144.9074,Western Metropolitan,0,0,0,0
Doncaster,3,u,772000.0,13.9,3.0,2.0,1.0,203.0,109.0,1986.0,-37.7776,145.1267,Eastern Metropolitan,0,0,0,0
